Date,New Testament (Morning Devotion), Old Testament (Evening Devotion)
01-01,"Mt 1","Genesis 1,2,3"
01-02,"Mt 2","Genesis 4,5,6"
01-03,"Mt 3","Genesis 7,8,9"
01-04,"Mt 4","Genesis 10,11,12"
01-05,"Mt 5:1-26","Genesis 13,14,15"
01-06,"Mt 5:27-48","Genesis 16,17"
01-07,"Mt 6:1-18","Genesis 18,19"
01-08,"Mt 6:19-34","Genesis 20,21,22"
01-09,"Mt 7","Genesis 23,24"
01-10,"Mt 8:1-17","Genesis 25,26"
01-11,"Mt 8:18-34","Genesis 27,28"
01-12,"Mt 9:1-17","Genesis 29,30"
01-13,"Mt 9:18-38","Genesis 31,32"
01-14,"Mt 10:1-20","Genesis 33,34,35"
01-15,"Mt 10:21-42","Genesis 36,37,38"
01-16,"Mt 11","Genesis 39,40"
01-17,"Mt 12:1-23","Genesis 41,42"
01-18,"Mt 12:24-50","Genesis 43,44,45"
01-19,"Mt 13:1-30","Genesis 46,47,48"
01-20,"Mt 13:31-58","Genesis 49,50"
01-21,"Mt 14:1-21","Exodus 1,2,3"
01-22,"Mt 14:22-36","Exodus 4,5,6"
01-23,"Mt 15:1-20","Exodus 7,8"
01-24,"Mt 15:21-39","Exodus 9,10,11"
01-25,"Mt 16","Exodus 12,13"
01-26,"Mt 17","Exodus 14,15"
01-27,"Mt 18:1-20","Exodus 16,17,18"
01-28,"Mt 18:21-35","Exodus 19,20"
01-29,"Mt 19","Exodus 21,22"
01-30,"Mt 20:1-16","Exodus 23,24"
01-31,"Mt 20:17-34","Exodus 25,26"
02-01,"Mt 21:1-22","Exodus 27,28"
02-02,"Mt 21:23-46","Exodus 29,30"
02-03,"Mt 22:1-22","Exodus 31,32,33"
02-04,"Mt 22:23-46","Exodus 34,35"
02-05,"Mt 23:1-22","Exodus 36,37,38"
02-06,"Mt 23:23-29","Exodus 39,40"
02-07,"Mt 24:1-28","Leviticus 1,2,3"
02-08,"Mt 24:29-51","Leviticus 4,5"
02-09,"Mt 25:1-30","Leviticus 6,7"
02-10,"Mt 25:31-46","Leviticus 8,9,10"
02-11,"Mt 26:1-25","Leviticus 11,12"
02-12,"Mt 26:26-50","Leviticus 13"
02-13,"Mt 26:51-75","Leviticus 14"
02-14,"Mt 27:1-26","Leviticus 15,16"
02-15,"Mt 27:27-50","Leviticus 17,18"
02-16,"Mt 27:51-66","Leviticus 19,20"
02-17,"Mt 28","Leviticus 21,22"
02-18,"Mk 1:1-22","Leviticus 23,24"
02-19,"Mk 1:1-22","Leviticus 25"
02-20,"Mk 1:23-45","Leviticus 26,27"
02-21,"Mk 3:1-19","Numeri 1,2"
02-22,"Mk 3:20-35","Numeri 3,4"
02-23,"Mk 4:1-20","Numeri 5,6"
02-24,"Mk 4:21-41","Numeri 7,8"
02-25,"Mk 5:1-20","Numeri 9,10,11"
02-26,"Mk 5:21-43","Numeri 12,13,14"
02-27,"Mk 6:1-29","Numeri 15,16"
02-28,"Mk 6:30-56","Numeri 17,18,19"
02-29,"Mk 7:1-13","Numeri 20,21,22"
03-01,"Mk 7:14-37","Numeri 23,24,25"
03-02,"Mk 8:1-21","Numeri 26,27"
03-03,"Mk 8:22-38","Numeri 28,29,30"
03-04,"Mk 9:1-29","Numeri 31,32,33"
03-05,"Mk 9:30-50","Numeri 34,35,36"
03-06,"Mk 10:1-31","Deuteronomy 1,2"
03-07,"Mk 10:32-52","Deuteronomy 3,4"
03-08,"Mk 11:1-18","Deuteronomy 5,6,7"
03-09,"Mk 11:19-34","Deuteronomy 8,9,10"
03-10,"Mk 12:1-27","Deuteronomy 11,12,13"
03-11,"Mk 12:28-44","Deuteronomy 14,15,16"
